Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
0,0.0,0.52404,0.56728,0.52908,0.48888000000000004,0.44744,0.40328,0.0789613184,0.07500604159999999,0.06617815360000001,0.09127018560000001,0.0796716864,0.0753916416,0.45643999999999996,0.3815199999999999,0.51984,0.0676,0.1857600000000001,0.009240000000000026,25,25,0.85,0.85,50.8,50,50
1,1.0,0.5159999999999999,0.5698846153846154,0.5229230769230769,0.48888000000000004,0.44744,0.40328,0.07754038461538462,0.07229079437869822,0.0645805325443787,0.09127018560000001,0.0796716864,0.0753916416,0.45643999999999996,0.3815199999999999,0.51984,0.059559999999999946,0.18836461538461552,0.003083076923076966,26,25,0.8633180110205475,0.91,52.13725490196079,51,57
2,2.0,0.5172962962962963,0.5575555555555556,0.5327037037037038,0.48888000000000004,0.44744,0.40328,0.07471220850480112,0.0735655061728395,0.06467583813443073,0.09127018560000001,0.0796716864,0.0753916416,0.45643999999999996,0.3815199999999999,0.51984,0.0608562962962963,0.17603555555555567,0.012863703703703822,27,25,0.8372797757407116,0.9299999999999998,53.07692307692308,52,68
3,3.0,0.5156,0.5462000000000001,0.5176333333333334,0.48888000000000004,0.44744,0.40328,0.06986090666666668,0.06779596,0.060717165555555556,0.09127018560000001,0.0796716864,0.0753916416,0.45643999999999996,0.3815199999999999,0.51984,0.05915999999999999,0.16468000000000022,0.002206666666666579,30,25,0.8375683104305183,0.87,52.74545454545454,55,79
4,4.0,0.5156,0.5462000000000001,0.5176333333333334,0.4815555555555556,0.4651111111111112,0.4156666666666667,0.06986090666666668,0.06779596,0.060717165555555556,0.08518002469135803,0.07777483950617284,0.07172718518518519,0.4584074074074074,0.39303703703703696,0.5405555555555556,0.05719259259259257,0.15316296296296317,0.022922222222222177,30,27,0.8213352503511172,0.9425925925925925,53.91228070175438,57,85
5,5.0,0.5149032258064516,0.5485483870967742,0.5193225806451613,0.47509677419354845,0.46687096774193554,0.424,0.06762189386056192,0.06577444120707594,0.058844154006243495,0.07879273257023932,0.07746049947970864,0.06581161290322582,0.4818064516129032,0.4006129032258064,0.5478064516129032,0.03309677419354845,0.14793548387096783,0.028483870967741853,31,31,0.7920343776823062,0.880967741935484,54.17741935483871,62,95
6,6.0,0.5225142857142857,0.5211714285714285,0.5286285714285714,0.47252941176470586,0.46935294117647053,0.42123529411764704,0.061402649795918356,0.06790499918367347,0.05508194775510205,0.07260407266435986,0.07499216955017302,0.06325365051903115,0.4914117647058823,0.3983529411764706,0.5255294117647058,0.031102521008403383,0.12281848739495793,0.003099159663865647,35,34,0.7621873946906708,0.8158823529411765,54.10144927536232,69,104
7,7.0,0.5162307692307692,0.5147692307692309,0.5237435897435897,0.47072972972972965,0.4626756756756756,0.4219459459459459,0.05614063905325443,0.06352392110453647,0.052248857330703495,0.06783106208911613,0.07237638130021912,0.06404269978086195,0.4697837837837837,0.40951351351351356,0.5252432432432432,0.046446985446985445,0.10525571725571731,0.0014996534996535305,39,37,0.7345277580567495,0.7597297297297297,55.5,76,113
8,8.0,0.5162307692307692,0.5147692307692309,0.5237435897435897,0.46817073170731716,0.44999999999999996,0.42026829268292676,0.05614063905325443,0.06352392110453647,0.052248857330703495,0.06411643426531825,0.07044243902439024,0.0642550743604997,0.44897560975609757,0.3995853658536586,0.5139024390243903,0.06725515947467159,0.11518386491557225,0.009841150719199443,39,41,0.7441019467226667,0.7260975609756097,57.225,80,121
9,9.0,0.507609756097561,0.505780487804878,0.5104634146341464,0.4629761904761905,0.4317380952380953,0.4337857142857142,0.05603087209994051,0.06437246400951814,0.05373483402736466,0.062160928004535154,0.06458262188208616,0.05954073979591837,0.45347619047619053,0.40149999999999997,0.5048333333333334,0.05413356562137045,0.10428048780487809,0.005630081300812995,41,42,0.7790033579819681,0.7257142857142858,57.493975903614455,83,123
